Date,Close,High,Low,Open,Volume
,^FTSE,^FTSE,^FTSE,^FTSE,^FTSE
2025-08-28,9216.7998046875,9270.0,9207.400390625,9255.5,545856600
2025-08-29,9187.2998046875,9223.099609375,9179.2001953125,9216.7998046875,786259500
2025-09-01,9196.2998046875,9226.599609375,9179.7998046875,9187.2998046875,432004700
2025-09-02,9116.7001953125,9196.5,9108.2001953125,9196.2998046875,704169000
2025-09-03,9178.0,9179.599609375,9107.400390625,9116.7001953125,705659700
2025-09-04,9216.900390625,9231.400390625,9155.5,9178.0,487597700
2025-09-05,9208.2001953125,9253.5,9197.599609375,9216.900390625,524336500
2025-09-08,9221.400390625,9234.900390625,9190.599609375,9208.2001953125,478762300
2025-09-09,9242.5,9254.2998046875,9221.400390625,9221.400390625,679753900
2025-09-10,9225.400390625,9290.599609375,9222.400390625,9242.5,1101672800
2025-09-11,9297.599609375,9297.599609375,9225.400390625,9225.400390625,628343100
2025-09-12,9283.2998046875,9340.7001953125,9283.2998046875,9297.599609375,640038400
2025-09-15,9277.0,9314.400390625,9262.7001953125,9283.2998046875,896734100
2025-09-16,9195.7001953125,9282.099609375,9195.7001953125,9277.0,1160022600
2025-09-17,9208.400390625,9245.7001953125,9195.7001953125,9195.7001953125,550017700
2025-09-18,9228.099609375,9245.2001953125,9208.2998046875,9208.400390625,641326900
2025-09-19,9216.7001953125,9251.0,9207.7001953125,9228.099609375,1741545500
2025-09-22,9226.7001953125,9234.599609375,9194.2998046875,9216.7001953125,608280800
2025-09-23,9223.2998046875,9266.900390625,9223.2998046875,9226.7001953125,690489000
2025-09-24,9250.400390625,9266.400390625,9177.099609375,9223.2998046875,631425700
2025-09-25,9214.0,9251.2001953125,9203.2001953125,9250.400390625,652023200
2025-09-26,9284.7998046875,9292.099609375,9208.5,9214.0,687681900
2025-09-29,9299.7998046875,9354.599609375,9284.7998046875,9284.7998046875,546230500
2025-09-30,9350.400390625,9363.599609375,9266.2998046875,9299.7998046875,770556700
2025-10-01,9446.400390625,9457.900390625,9347.599609375,9350.5,853312200
2025-10-02,9427.7001953125,9475.099609375,9417.599609375,9446.400390625,650916500
2025-10-03,9491.2998046875,9494.599609375,9425.0,9427.7001953125,596685900
2025-10-06,9479.099609375,9516.7998046875,9465.400390625,9491.2001953125,608049100
2025-10-07,9483.599609375,9507.099609375,9473.099609375,9479.099609375,647484600
2025-10-08,9548.900390625,9577.099609375,9483.599609375,9483.599609375,800211500
2025-10-09,9509.400390625,9565.5,9501.099609375,9548.900390625,963047900
2025-10-10,9427.5,9520.0,9414.599609375,9509.400390625,633596500
2025-10-13,9442.900390625,9459.900390625,9409.7001953125,9427.5,866346000
2025-10-14,9452.7998046875,9454.2998046875,9384.2001953125,9442.900390625,715453800
2025-10-15,9424.7998046875,9474.2998046875,9395.099609375,9452.7998046875,610965100
2025-10-16,9436.099609375,9436.099609375,9389.7001953125,9424.7998046875,451574500
2025-10-17,9354.599609375,9436.099609375,9276.900390625,9436.099609375,751531100
2025-10-20,9403.599609375,9416.400390625,9354.5,9354.5,612224700
2025-10-21,9427.0,9441.2001953125,9403.5,9403.599609375,612553400
2025-10-22,9515.0,9545.2001953125,9427.099609375,9427.099609375,1047120500
2025-10-23,9578.599609375,9594.7998046875,9505.7001953125,9515.0,814894500
2025-10-24,9645.599609375,9645.599609375,9560.5,9578.599609375,779192300
2025-10-27,9653.7998046875,9672.7001953125,9632.7998046875,9645.599609375,729163900
2025-10-28,9696.7001953125,9727.099609375,9645.400390625,9653.7998046875,708743000
2025-10-29,9756.099609375,9787.599609375,9696.7998046875,9696.7998046875,752470200
2025-10-30,9760.099609375,9763.400390625,9690.0,9756.099609375,893377000
2025-10-31,9717.2998046875,9761.7998046875,9697.0,9760.099609375,596284500
2025-11-03,9701.400390625,9745.599609375,9695.900390625,9717.2998046875,848988200
2025-11-04,9715.0,9715.0,9574.2001953125,9701.400390625,1023130000
2025-11-05,9777.099609375,9786.7998046875,9680.5,9715.0,862811200
2025-11-06,9735.7998046875,9786.099609375,9723.900390625,9777.099609375,938291200
2025-11-07,9682.599609375,9735.7998046875,9639.0,9735.7998046875,747990900
2025-11-10,9787.2001953125,9800.400390625,9682.599609375,9682.599609375,761287500
